,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
1149,班庄·比辛达拿刚,"['阿南达·爱华灵咸', '娜特慧兰·塔美', '阿西塔·西卡玛娜', 'Unnop Chanpaibool', 'Titikarn Tongprasearth']",7.7,['2004'],"['悬疑', '惊悚', '恐怖']",97,74080,泰语, 泰国,鬼影
1150,石川淳一,"['新垣结衣', '瑛太', '广末凉子', '苍井优', '濑户康史']",7.0,['2017'],"['喜剧', '运动']",119,68848,日语, 日本,恋爱回旋
1151,新海诚,"['吉冈秀隆', '萩原圣人', '南里侑香', '石冢运升', '井上和彦']",7.7,['2004'],"['剧情', '科幻', '动画']",91,65320,日语, 日本,云的彼端，约定的地方
1152,高畑勋,"['古今亭志ん朝', '三木纪平', '清川虹子', '野野村真', '石田百合子']",8.4,['1994'],"['剧情', '喜剧', '动画', '奇幻']",119,69979,日语, 日本,百变狸猫
1153,岩井俊二,"['恰拉', '浅野忠信', '橋爪 浩一', '六平直政', '伊藤和枝']",8.3,['1996'],"['剧情', '奇幻']",72,65424,日语, 日本,梦旅人
1154,魏德圣,"['林庆台', '游大庆', '马志翔', '安藤政信', '河原佐武']",8.9,['2011'],"['剧情', '历史', '战争']",144,70985,日语, 中国台湾,赛德克·巴莱(上)：太阳旗
1155,本木克英,"['田中丽奈', '加濑亮', '福田麻由子', '丰川悦司', '高岛礼子']",8.1,['2008'],"['剧情', '喜剧', '爱情']",117,59542,日语, 日本,狗狗与我的十个约定
1156,李相日,"['渡边谦', '森山未来', '松山研一', '绫野刚', '广濑铃']",7.7,['2016'],"['剧情', '爱情', '悬疑', '同性']",142,67502,日语, 日本,怒
1157,蜷川实花,"['土屋安娜', '木村佳乃', '安藤政信', '椎名桔平', '永濑正敏']",8.1,['2006'],"['剧情', '历史']",111,64794,日语, 日本,花魁
1158,魏德圣,"['马志翔', '徐若瑄', '温岚', '田中千绘', '林庆台']",8.8,['2011'],"['剧情', '历史', '战争']",132,62082,日语, 中国台湾,赛德克·巴莱(下)：彩虹桥
1159,蜷川实花,"['泽尻英龙华', '大森南朋', '寺岛忍', '水原希子', '洼冢洋介']",7.1,['2012'],"['剧情', '惊悚', '犯罪']",127,66196,日语, 日本,狼狈
1160,北野武,"['金子贤', '安藤政信', '石桥凌', '森本治行', '寺岛进']",8.5,['1996'],['剧情'],107,60461,日语, 日本,坏孩子的天空
1161,静野孔文,"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '松井菜樱子']",6.3,['2012'],"['动作', '动画']",110,42706,日语, 日本,名侦探柯南：第十一名前锋
1162,冲田修一,"['堺雅人', '生濑胜久', '古关安广', '丰原功补', '高良健吾']",8.3,['2009'],['喜剧'],125,61023,日语, 日本,南极料理人
1163,望月智充,"['飞田展男', '坂本洋子', '关俊彦', '荒木香惠', '绿川光']",8.2,['1993'],"['剧情', '爱情', '动画']",72,58357,日语, 日本,听到涛声
1164,牛岛新一郎,"['高杉真宙', 'Lynn', '藤井雪代', '内田雄马', '福岛润']",6.9,['2018'],"['爱情', '动画']",108,50863,日语, 日本,我想吃掉你的胰脏
1165,原惠一,"['富泽风斗', '横川贵大', '田中直树', '西田尚美', '松元环季']",8.7,['2007'],"['喜剧', '动画', '奇幻']",138,59438,日语, 日本,河童之夏
1166,大森立嗣,"['池松壮亮', '菅田将晖', '中条彩未', '铃木卓尔', '宇野祥平']",8.3,['2016'],"['剧情', '喜剧']",75,57893,日语, 日本,濑户内海
1167,迈克尔·艾里亚斯,"['二宫和也', '苍井优', '伊势谷友介', '宫藤官九郎', '大森南朋']",8.6,['2006'],"['动作', '动画', '犯罪', '冒险']",111,55395,日语, 日本,恶童
1168,山下宏幸,"['三瓶由布子', '菊池心', '木岛隆一', '竹内顺子', '中村千绘']",8.3,['2015'],"['动作', '动画', '冒险']",96,58146,日语, 日本,火影忍者剧场版：博人传
1169,宫元宏彰,"['田中真弓', '中井和哉', '冈村明美', '山口胜平', '平田广明']",7.7,['2016'],"['剧情', '动作', '动画', '冒险']",119,45634,日语, 日本,航海王之黄金城
1170,深川栄洋,"['堀北真希', '高良健吾', '船越英一郎', '户田惠子', '姜畅雄']",6.8,['2010'],"['剧情', '悬疑']",149,50757,日语, 日本,白夜行
1171,静野孔文,"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '堀川亮']",6.7,['2017'],"['动画', '悬疑']",112,39427,日语, 日本,名侦探柯南：唐红的恋歌
1172,高畑勋,"['朝仓亚纪', '高良健吾', '地井武男', '宫本信子', '高畑淳子']",8.4,['2013'],['动画'],137,59994,日语, 日本,辉夜姬物语
1173,野村哲也,"['樱井孝宏', '伊藤步', '森久保祥太郎', '森川智之', '坂本真绫']",8.3,['2005'],"['动作', '科幻', '动画', '惊悚']",101,48658,日语, 日本,最终幻想7：圣子降临
1174,新海诚,"['金元寿子', '入野自由', '井上和彦', '岛本须美', '竹内顺子']",7.3,['2011'],"['动画', '奇幻', '冒险']",116,50418,日语, 日本,追逐繁星的孩子
1175,黑泽明,"['仲代达矢', '寺尾聪', '根津甚八', '隆大介', '野村万斋']",8.9,['1985'],"['剧情', '动作', '战争']",162,51275,日语, 日本,乱
1176,静野孔文,"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '岩居由希子']",6.4,['2013'],"['动画', '悬疑', '犯罪', '冒险']",110,41753,日语, 日本,名侦探柯南：远海的侦探
1177,石井裕也,"['松田龙平', '宫崎葵', '小田切让', '黑木华', '渡边美佐子']",8.6,['2013'],['剧情'],134,54101,日语, 日本,编舟记
1178,中村义洋,"['井上真央', '绫野刚', '菜菜绪', '金子统昭', '小野惠令奈']",7.5,['2014'],"['剧情', '悬疑']",126,50320,日语, 日本,白雪公主杀人事件
1179,中村义洋,"['堺雅人', '竹内结子', '吉冈秀隆', '剧团一人', '香川照之']",8.4,['2010'],"['剧情', '悬疑']",139,52349,日语, 日本,金色梦乡
1180,佐佐部清,"['宫崎葵', '堺雅人', '余贵美子', '大杉涟', '田村三郎']",8.1,['2011'],"['剧情', '爱情', '家庭']",121,52967,日语, 日本,丈夫得了抑郁症
1181,庵野秀明,"['绪方惠美', '林原惠美', '宫村优子', '坂本真绫', '三石琴乃']",9.3,['2009'],"['剧情', '科幻', '动画']",108,47354,日语, 日本,福音战士新剧场版：破
1182,静野孔文,"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '日高法子']",6.7,['2014'],"['动画', '悬疑', '犯罪']",110,37977,日语, 日本,名侦探柯南：异次元的狙击手
1183,松冈锭司,"['小林薰', '河井青叶', '佐藤浩市', '池松壮亮', '木村绿子']",8.1,['2016'],['剧情'],108,40731,日语, 日本,深夜食堂2
1184,三木孝浩,"['松本润', '上野树里', '玉山铁二', '大仓孝二', '谷村美月']",7.9,['2013'],['爱情'],128,51751,日语, 日本,向阳处的她
1185,荻上直子,"['小林聪美', '片桐入', '罇真佐子', '塔里娅·马库斯', '马库·佩尔托拉']",8.3,['2006'],"['剧情', '喜剧']",102,49469,日语, 日本,海鸥食堂
1186,土井裕泰,"['新垣结衣', '生田斗真', '向井理', '药师丸博子', '莲佛美沙子']",7.2,['2010'],['剧情'],128,48211,日语, 日本,花水木
1187,石川淳一,"['堺雅人', '新垣结衣', '生濑胜久', '小池荣子', '大森南朋']",8.6,['2014'],"['剧情', '悬疑']",107,48897,日语, 日本,胜者即是正义
1188,金成勋,"['李善均', '赵震雄', '郑满植', '申东美', '申正根']",7.9,['2014'],"['动作', '惊悚', '犯罪']",111,51674,韩语, 韩国,走到尽头
1189,山户结希,"['小松菜奈', '菅田将晖', '重冈大毅', '上白石萌音', '志磨辽平']",7.6,['2016'],"['剧情', '爱情']",111,46003,日语, 日本,溺水小刀
1190,今井一晓,"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",6.5,['2018'],"['动画', '奇幻', '冒险']",109,31221,日语, 日本,哆啦A梦：大雄的金银岛
1191,行定勋,"['大泽隆夫', '柴崎幸', '长泽雅美', '森山未来', '山崎努']",7.6,['2004'],"['剧情', '爱情']",138,42390,日语, 日本,在世界中心呼唤爱
1192,大友克洋,"['岩田光央', '佐佐木望', '小山茉美', '玄田哲章', '大竹宏']",8.4,['1988'],"['动作', '科幻', '动画']",124,36097,日语, 日本,阿基拉
1193,三木孝浩,"['福士苍汰', '小松菜奈', '东出昌大', '山田裕贵', '清原果耶']",7.6,['2016'],"['剧情', '爱情', '奇幻']",111,34932,日语, 日本,明日的我与昨日的你约会
1194,神谷诚,"['马修·默瑟', '戴夫·维滕博格', '柯特奈·泰勒', 'Val Tasso', '罗宾·萨奇斯']",7.6,['2012'],"['动作', '科幻', '动画', '惊悚', '恐怖']",100,29551,日语, 日本,生化危机：诅咒
1195,八锹新之介,"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",7.4,['2019'],"['剧情', '动画']",111,29298,日语, 日本,哆啦A梦：大雄的月球探险记
1196,金子文纪,"['二宫和也', '柴崎幸', '大仓忠义', '堀北真希', '玉木宏']",7.1,['2010'],"['剧情', '同性']",116,34719,日语, 日本,大奥
1197,北野武,"['北野武', '浅野忠信', '大楠道代', '夏川结衣', '岸部一德']",8.0,['2003'],"['剧情', '喜剧', '动作', '音乐', '犯罪']",116,31800,日语, 日本,座头市
1198,樋口真嗣,"['三浦春马', '长谷川博己', '水原希子', '本乡奏多', '三浦贵大']",5.0,['2015'],"['动作', '科幻', '惊悚']",98,34239,日语, 日本,进击的巨人真人版：前篇
1199,大谷健太郎,"['中岛美嘉', '市川由衣', '玉山铁二', '姜畅雄', '成宫宽贵']",6.4,['2006'],"['剧情', '爱情']",130,29903,日语, 日本,娜娜2
1200,长崎健司,"['山下大辉', '三宅健太', '志田未来', '生濑胜久', '冈本信彦']",7.2,['2018'],"['动作', '动画']",96,27814,日语, 日本,我的英雄学院：两位英雄
1201,何塞·帕迪里亚,"['瓦格纳·马拉', '卡约·胡恩奎拉', '安德烈·拉米罗', '玛利亚·瑞贝罗', '费尔南达·马查多']",7.9,['2007'],"['剧情', '动作', '惊悚', '犯罪']",115,33570,葡萄牙语, 巴西,精英部队
1202,岩井俊二,"['苍井优', '铃木杏', '胜地凉', '黑木华', '木村多江']",8.0,['2015'],"['喜剧', '动画']",100,32990,日语, 日本,花与爱丽丝杀人事件
1203,金基德,"['韩业云', '全成焕', '徐智锡', '孔宥硕']",7.8,['2005'],"['剧情', '爱情', '情色']",90,30001,韩语, 韩国,弓
1204,吉田大八,"['神木隆之介', '桥本爱', '大后寿寿花', '东出昌大', '清水久留巳']",7.9,['2012'],['剧情'],103,32917,日语, 日本,听说桐岛要退部
1205,佩德罗·阿莫多瓦,"['盖尔·加西亚·贝纳尔', '费莱·马丁内斯', '丹尼尔·希梅内斯·卡乔', '路易斯·奥马', '弗朗西斯科·梅斯特']",8.3,['2004'],"['剧情', '悬疑', '惊悚', '同性', '犯罪']",106,29231,西班牙语, 西班牙,不良教育
1206,须藤友德,"['杉山纪彰', '下屋则子', '神谷浩史', '川澄绫子', '植田佳奈']",7.5,['2017'],"['动画', '奇幻']",120,25260,日语, 日本,命运之夜——天之杯：恶兆之花
1207,庵野秀明,"['绪方惠美', '林原惠美', '宫村优子', '三石琴乃', '立木文彦']",9.2,['1997'],"['剧情', '科幻', '动画']",101,26936,日语, 日本,新世纪福音战士剧场版：死与新生
1208,高桥敦史,"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",6.6,['2017'],"['动画', '冒险']",101,21913,日语, 日本,哆啦A梦：大雄的南极冰冰凉大冒险
1209,山崎贵,"['吉冈秀隆', '堤真一', '药师丸博子', '小雪', '堀北真希']",8.8,['2005'],"['剧情', '家庭']",133,31263,日语, 日本,永远的三丁目的夕阳
1210,福田雄一,"['小栗旬', '菅田将晖', '桥本环奈', '柳乐优弥', '吉泽亮']",7.4,['2018'],"['喜剧', '动作', '冒险']",135,26006,日语, 日本,银魂2
1211,小津安二郎,"['笠智众', '岩下志麻', '冈田茉莉子', '佐田启二', '三上真一郎']",8.7,['1962'],"['剧情', '家庭']",113,27822,日语, 日本,秋刀鱼之味
1212,高畑秀太,"['二宫和也', '北野武', '宫川大辅', '柄本时生', '新井浩文']",9.0,['2015'],"['剧情', '传记']",124,32790,日语, 日本,红鳉鱼
1213,大友启史,"['佐藤健', '武井咲', '伊势谷友介', '青木崇高', '苍井优']",7.8,['2014'],"['动作', '古装']",138,31399,日语, 日本,浪客剑心：京都大火篇
1214,长峰达也,"['田中真弓', '中井和哉', '冈村明美', '山口胜平', '平田广明']",8.6,['2012'],"['动作', '动画', '冒险']",108,24638,日语, 日本,海贼王剧场版Z
1215,是枝裕和,"['裴斗娜', '井浦新', '板尾创路', '余贵美子', '岩松了']",7.4,['2009'],"['剧情', '奇幻']",125,29678,日语, 日本,空气人偶
1216,山田洋次,"['桥爪功', '吉行和子', '西村雅彦', '夏川结衣', '中岛朋子']",8.7,['2013'],"['剧情', '家庭']",146,31578,日语, 日本,东京家族
1217,深作健太,"['藤原龙也', '前田爱', '竹内力', '忍成修吾', '酒井彩名']",5.3,['2003'],"['剧情', '动作', '惊悚']",134,27830,日语, 日本,大逃杀2：镇魂歌
1218,河合勇人,"['土屋太凤', '片寄凉太', '千叶雄大', '草川拓弥', '杉野遥亮']",6.2,['2017'],"['剧情', '喜剧']",99,23962,日语, 日本,哥哥太爱我了怎么办
1219,森田芳光,"['役所广司', '黑木瞳', '寺尾聪', '柴俊夫', '星野知子']",7.4,['1997'],"['剧情', '爱情', '情色']",119,25610,日语, 日本,失乐园
1220,长井龙雪,"['入野自由', '茅野爱衣', '户松遥', '樱井孝宏', '早见沙织']",8.4,['2013'],['动画'],99,20313,日语, 日本,我们仍未知道那天所看见的花的名字
1221,并木道子,"['瑛太', '尾野真千子', '真木阳子', '绫野刚', '八千草薰']",9.1,['2014'],"['剧情', '喜剧', '爱情']",120,31757,日语, 日本,最完美的离婚
1222,川尻善昭,"['田中秀幸', '永井一郎', '山寺宏一', '林原惠美', '筱原惠美']",8.7,['2000'],"['动作', '动画', '悬疑', '恐怖', '奇幻', '冒险']",103,29852,日语, 日本,吸血鬼猎人D
1223,是枝裕和,"['福山雅治', '役所广司', '广濑铃', '满岛真之介', '市川实日子']",7.1,['2017'],"['剧情', '悬疑', '犯罪']",124,28939,日语, 日本,第三度嫌疑人
1224,棚田由纪,"['苍井优', '森山未来', '泷正则', '竹财辉之助', '斋藤隆成']",8.0,['2008'],['剧情'],121,28516,日语, 日本,百万元与苦虫女
1225,笕昌也,"['金城武', '小西真奈美', '富司纯子', '光石研', '石田卓也']",7.3,['2008'],"['剧情', '喜剧', '奇幻']",113,28401,日语, 日本,死神的精度
1226,石川淳一,"['户田惠梨香', '松坂桃李', '里见浩太朗', '富司纯子', '中山裕介']",7.8,['2015'],['喜剧'],119,29448,日语, 日本,愚人节
1227,新城毅彦,"['北川景子', '向井理', '山本裕典', '五十岚隼士', '贺来贤人']",6.6,['2011'],"['剧情', '爱情']",116,27812,日语, 日本,天堂之吻
1228,三池崇史,"['浅野忠信', '大森南朋', '冢本晋也', '萨布', '孙佳君']",7.4,['2001'],"['喜剧', '动作', '犯罪']",129,26263,日语, 日本,杀手阿一
1229,石田祐康,"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树']",7.8,['2018'],"['动画', '奇幻', '冒险']",117,26812,日语, 日本,企鹅公路
1230,藤田阳一,"['杉田智和', '阪口大助', '钉宫理惠', '矶部勉', '山寺宏一']",9.3,['2013'],"['剧情', '动画']",110,29739,日语, 日本,银魂完结篇：直到永远的万事屋
1231,渡边步,"['大原惠美', '水田山葵', '嘉数由美', '木村昴', '关智一']",7.8,['2006'],['动画'],107,17786,日语, 日本,哆啦A梦：大雄的恐龙
1232,米林宏昌,"['杉咲花', '神木隆之介', '天海祐希', '小日向文世', '满岛光']",6.3,['2017'],"['动画', '奇幻', '冒险']",102,21175,日语, 日本,玛丽与魔女之花
1233,松冈锭司,"['小田切让', '树木希林', '伊藤步', '松隆子', '小林薰']",8.6,['2007'],"['剧情', '家庭']",142,27009,日语, 日本,东京塔
1234,佐藤敬一,"['小野大辅', '市道真央', '郭智博', '早见沙织', '池田秀一']",8.1,['2016'],"['动作', '科幻', '动画']",96,29093,日语, 日本,杀戮都市：O
1235,高松信司,"['杉田智和', '阪口大助', '钉宫理惠', '石田彰', '子安武人']",9.1,['2010'],"['喜剧', '动作', '动画', '古装']",96,24613,日语, 日本,银魂剧场版：新译红樱篇
1236,深川荣洋,"['江口洋介', '苍井优', 'Cynthia Cheston', '江口德子', '户田惠子']",6.9,['2011'],['剧情'],117,26149,日语, 日本,街角洋果子店
1237,蜷川幸雄,"['二宫和也', '松浦亚弥', '秋吉久美子', '山本宽斋', '中村梅雀']",8.7,['2003'],"['剧情', '爱情', '犯罪']",116,29136,日语, 日本,青之炎
1238,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
1239,罗伯·莱纳,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼']",9.0,['2010'],"['剧情', '喜剧', '爱情']",90,1069372,英语, 美国,怦然心动
1240,拜伦·霍华德,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯']",9.2,['2016'],"['喜剧', '动画', '冒险']",109,1068528,英语, 美国,疯狂动物城
1241,彼得·威尔,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",9.3,['1998'],"['剧情', '科幻']",103,918266,英语, 美国,楚门的世界
1242,李·昂克里奇,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托']",9.1,['2017'],"['喜剧', '动画', '音乐', '奇幻']",105,893968,英语, 美国,寻梦环游记
1243,克里斯托夫·巴拉蒂,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔']",9.3,['2004'],"['剧情', '音乐']",97,817505,法语, 法国,放牛班的春天
1244,彼特·道格特,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",9.0,['2009'],"['剧情', '喜剧', '动画', '冒险']",96,836271,英语, 美国,飞屋环游记
1245,安德鲁·斯坦顿,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗']",9.3,['2008'],"['科幻', '动画', '冒险']",98,852872,英语, 美国,机器人总动员
1246,蒂姆·波顿,"['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克']",8.7,['1990'],"['剧情', '爱情', '奇幻']",105,716819,英语, 美国,剪刀手爱德华
1247,皮埃尔·柯芬,"['史蒂夫·卡瑞尔', '杰森·席格尔', '拉塞尔·布兰德', '朱莉·安德鲁斯', '威尔·阿奈特']",8.6,['2010'],"['喜剧', '动画', '冒险']",95,616385,英语, 美国,神偷奶爸
1248,唐·霍尔,"['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '杰米·钟']",8.6,['2014'],"['喜剧', '动作', '科幻', '动画', '冒险']",102,611886,英语, 美国,超能陆战队
1249,柯克·德·米科,"['尼古拉斯·凯奇', '艾玛·斯通', '瑞恩·雷诺兹', '凯瑟琳·基纳', '克萝丽丝·利奇曼']",8.7,['2013'],"['喜剧', '动画', '冒险']",98,552583,英语, 美国,疯狂原始人
1250,罗杰·阿勒斯,"['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利']",9.0,['1994'],"['动画', '歌舞', '冒险']",89,479779,英语, 美国,狮子王
1251,马修·沃恩,"['塔伦·埃格顿', '科林·费尔斯', '塞缪尔·杰克逊', '迈克尔·凯恩', '马克·斯特朗']",8.4,['2014'],"['喜剧', '动作', '冒险']",125,474516,英语, 英国,王牌特工：特工学院
1252,韦斯·安德森,"['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛']",8.8,['2014'],"['剧情', '喜剧', '冒险']",99,542581,英语, 美国,布达佩斯大饭店
1253,迪恩·德布洛斯,"['杰伊·巴鲁切尔', '杰拉德·巴特勒', '克雷格·费格森', '亚美莉卡·费雷拉', '乔纳·希尔']",8.7,['2010'],"['动画', '奇幻', '冒险']",98,471104,英语, 美国,驯龙高手
1254,卡洛斯·沙尔丹哈,"['雷·罗马诺', '约翰·雷吉扎莫', '丹尼斯·利瑞', '杰克·布莱克']",8.5,['2002'],"['喜剧', '动画', '冒险']",81,404577,英语, 美国,冰川时代
1255,罗兰·艾默里奇,"['丹尼斯·奎德', '杰克·吉伦哈尔', '埃米·罗森', '达什·米霍克', '杰伊·桑德斯']",8.2,['2004'],"['动作', '科幻', '冒险', '灾难']",124,325259,英语, 美国,后天
1256,昆汀·塔伦蒂诺,"['杰米·福克斯', '莱昂纳多·迪卡普里奥', '克里斯托弗·沃尔兹', '塞缪尔·杰克逊', '凯丽·华盛顿']",8.7,['2012'],"['剧情', '动作', '西部', '冒险']",163,385819,英语, 美国,被解救的姜戈
1257,蒂姆·波顿,"['约翰尼·德普', '弗莱迪·海默', '海伦娜·伯翰·卡特', '克里斯托弗·李', '诺亚·泰勒']",8.1,['2005'],"['喜剧', '奇幻', '冒险']",115,313963,英语, 美国,查理和巧克力工厂
1258,彼特·道格特,"['艾米·波勒', '菲利丝·史密斯', '理查德·坎德', '比尔·哈德尔', '刘易斯·布莱克']",8.7,['2015'],"['喜剧', '动画', '冒险']",95,365331,英语, 美国,头脑特工队
1259,保罗·杰诺维塞,"['马可·贾利尼', '卡夏·斯穆特尼亚克', '爱德华多·莱奥', '阿尔巴·罗尔瓦赫尔', '瓦莱里奥·马斯坦德雷亚']",8.5,['2016'],"['剧情', '喜剧']",97,354422,意大利语, 意大利,完美陌生人
1260,李·昂克里奇,"['汤姆·汉克斯', '蒂姆·艾伦', '琼·库萨克', '尼德·巴蒂', '唐·里克斯']",8.8,['2010'],"['喜剧', '动画', '奇幻', '冒险']",103,303216,英语, 美国,玩具总动员3
1261,瑞奇·摩尔,"['约翰·C·赖利', '萨拉·西尔弗曼', '杰克·麦克布瑞尔', '简·林奇', '艾伦·图代克']",8.7,['2012'],"['喜剧', '动画', '奇幻', '冒险']",101,330282,英语, 美国,无敌破坏王
1262,理查德·林克莱特,"['伊桑·霍克', '朱莉·德尔佩', '安德莉亚·埃克特', '汉诺·波西尔', 'Karl Bruckschwaiger']",8.8,['1995'],"['剧情', '爱情']",101,352434,英语, 美国,爱在黎明破晓前
1263,安德鲁·斯坦顿,"['艾伯特·布鲁克斯', '艾伦·德杰尼勒斯', '亚历山大·古尔德', '威廉·达福', '布拉德·加内特']",8.3,['2003'],"['喜剧', '动画', '冒险']",100,276785,英语, 美国,海底总动员
1264,昆汀·塔伦蒂诺,"['乌玛·瑟曼', '刘玉玲', '薇薇卡·福克斯', '达丽尔·汉纳', '大卫·卡拉丁']",8.2,['2003'],"['动作', '惊悚', '犯罪']",111,307628,英语, 美国,杀死比尔
1265,昆汀·塔伦蒂诺,"['布拉德·皮特', '梅拉尼·罗兰', '克里斯托弗·沃尔兹', '伊莱·罗斯', '迈克尔·法斯宾德']",8.5,['2009'],"['剧情', '犯罪']",153,314592,英语, 德国,无耻混蛋
1266,弗朗西斯·劳伦斯,"['威尔·史密斯', '艾莉丝·布拉加', 'Charlie Tahan', '达什·米霍克', '莎莉·理查德森']",8.0,['2007'],"['剧情', '科幻', '恐怖']",101,282550,英语, 美国,我是传奇
1267,理查德·林克莱特,"['伊桑·霍克', '朱莉·德尔佩', '弗农·多布切夫', '路易丝·勒莫瓦纳·托雷斯', '罗多尔·保利']",8.8,['2004'],"['剧情', '爱情']",80,306914,英语, 美国,爱在日落黄昏时
1268,马克·赫尔曼,"['阿萨·巴特菲尔德', '维拉·法米加', '卡拉·霍根', '祖萨·霍尔', '安贝尔·比蒂']",9.1,['2008'],"['剧情', '战争']",94,289943,英语, 英国,穿条纹睡衣的男孩
1269,亚当·艾略特,"['托妮·科莱特', '菲利普·塞默·霍夫曼', '巴瑞·哈姆弗莱斯', '艾瑞克·巴纳', '贝塔尼·维特莫尔']",8.9,['2009'],"['剧情', '喜剧', '动画']",92,302962,英语, 澳大利亚,玛丽和马克思
1270,约翰·拉塞特,"['汤姆·汉克斯', '蒂姆·艾伦', '唐·里克斯', '吉姆·法尼']",8.4,['1995'],"['喜剧', '动画', '家庭']",81,234397,英语, 美国,玩具总动员
1271,卡洛斯·沙尔丹哈,"['杰西·艾森伯格', '安妮·海瑟薇', '乔治·洛佩兹', '罗德里戈·桑托罗', '凯特·德尔·卡斯蒂洛']",8.3,['2011'],"['喜剧', '动画', '冒险']",96,262753,英语, 美国,里约大冒险
1272,巴里·索南菲尔德,"['威尔·史密斯', '汤米·李·琼斯', '琳达·费奥伦蒂诺', '文森特·多诺费奥', '雷普·汤恩']",8.1,['1997'],"['喜剧', '动作', '科幻']",98,223825,英语, 美国,黑衣人
1273,约翰·卡尼,"['凯拉·奈特莉', '马克·鲁弗洛', '亚当·莱文', '詹姆斯·柯登', '海莉·斯坦菲尔德']",8.5,['2013'],"['喜剧', '爱情', '音乐']",104,263144,英语, 美国,再次出发之纽约遇见你
1274,詹姆斯·卡梅隆,"['阿诺·施瓦辛格', '琳达·汉密尔顿', '爱德华·福隆', '罗伯特·帕特里克', '阿尔·伯恩']",8.7,['1991'],"['动作', '科幻']",137,217686,英语, 美国,终结者2：审判日
1275,布拉德·伯德,"['格雷格·T·尼尔森', '霍利·亨特', '塞缪尔·杰克逊', '杰森·李', '泰迪·牛顿']",8.1,['2004'],"['喜剧', '动作', '动画', '冒险']",115,212520,英语, 美国,超人总动员
1276,理查德·沙因克曼,"['大卫·李·史密斯', '托尼·托德', '约翰·比灵斯列', '安妮卡·彼得森', '阿丽西丝·索普']",8.5,['2007'],"['剧情', '科幻']",87,257261,英语, 美国,这个男人来自地球
1277,马基德·马基迪,"['法拉赫阿米尔·哈什米安', '默罕默德·阿米尔·纳吉', '巴哈丽·西迪奇', '纳菲丝·贾法-穆罕默迪', '费雷什特·萨拉班迪']",9.2,['1997'],"['剧情', '家庭', '儿童']",89,239964,波斯语, 伊朗,小鞋子
1278,保罗·安德森,"['米拉·乔沃维奇', '米歇尔·罗德里格兹', '科林·萨蒙', '埃里克·马比斯', '詹姆斯·鲍弗']",8.0,['2002'],"['动作', '科幻', '恐怖']",100,189352,英语, 英国,生化危机
1279,本·斯蒂勒,"['本·斯蒂勒', '克里斯汀·韦格', '亚当·斯科特', '西恩·潘', '凯瑟琳·哈恩']",8.4,['2013'],"['剧情', '喜剧', '冒险']",114,234182,英语, 美国,白日梦想家
1280,卡洛斯·沙尔丹哈,"['雷·罗马诺', '约翰·雷吉扎莫', '丹尼斯·利瑞', 'Maile Flanagan', 'Jason Fricchione']",8.2,['2009'],"['喜剧', '动画', '冒险']",94,184591,英语, 美国,冰川时代3
1281,茂文·勒鲁瓦,"['费雯·丽', '罗伯特·泰勒', '露塞尔·沃特森', '弗吉尼亚·菲尔德', '玛丽亚·彭斯卡娅']",8.8,['1940'],"['剧情', '爱情', '战争']",108,173939,英语, 美国,魂断蓝桥
1282,罗兰·艾默里奇,"['威尔·史密斯', '比尔·普尔曼', '杰夫·高布伦', '玛丽·麦克唐纳', '贾德·赫希']",8.0,['1996'],"['动作', '科幻', '冒险', '灾难']",145,200748,英语, 美国,独立日
