,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
143,克利斯汀·迪特,"['莉莉·柯林斯', '山姆·克拉弗林', '塔姆欣·伊格顿', '杰美·温斯顿', '克里斯蒂安·库克']",7.5,['2014'],"['喜剧', '爱情']",102,87113,英语, 德国,爱你，罗茜
144,克里斯·韦兹,"['贾森·比格斯', '克里斯·克莱因', '西恩·威廉·斯科特', '托马斯·伊恩·尼古拉斯', '艾丽森·汉妮根']",7.3,['1999'],"['喜剧', '爱情']",95,76751,英语, 美国,美国派
145,威尔·古勒,"['贾斯汀·汀布莱克', '米拉·库尼斯', '艾玛·斯通', '伍迪·哈里森', '安迪·萨姆伯格']",6.6,['2011'],"['喜剧', '爱情']",109,84004,英语, 美国,炮友
146,比班·基德龙,"['蕾妮·齐薇格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '杰茜达·芭瑞特']",7.2,['2004'],"['喜剧', '爱情']",108,77242,英语, 英国,BJ单身日记2：理性边缘
147,西达夫·马贺拉,"['拉妮·玛克赫吉', '内拉吉·卡比', '萨钦', '苏普丽雅·皮尔加卡尔', '罗希特·萨拉夫']",7.5,['2018'],"['剧情', '喜剧']",120,58174,印地语, 印度,嗝嗝老师
148,保罗·范霍文,"['卡斯帕·凡·迪恩', '迪娜·迈耶', '丹妮丝·理查兹', '杰克·布塞', '尼尔·帕特里克·哈里斯']",7.8,['1997'],"['动作', '科幻', '惊悚', '冒险']",129,74199,英语, 美国,星河战队
149,李炳宪,"['柳承龙', '李东辉', '李荷妮', '陈善圭', '申河均']",7.7,['2019'],"['喜剧', '动作', '犯罪']",111,88049,韩语, 韩国,极限职业
150,罗伯·明可夫,"['泰·布利尔', '麦克斯·查尔斯', '罗莉·弗雷泽', '吉约姆·阿瑞托斯', '帕特里斯·A·缪吉克']",7.5,['2014'],"['喜剧', '科幻', '动画', '冒险']",92,64531,英语, 美国,天才眼镜狗
151,克里斯·米勒,"['麦克·梅尔斯', '艾迪·墨菲', '卡梅隆·迪亚兹', '安东尼奥·班德拉斯', '鲁伯特·艾弗雷特']",7.3,['2007'],"['喜剧', '动画', '家庭', '奇幻', '冒险']",93,56428,英语, 美国,怪物史瑞克3
152,温子仁,"['萝丝·拜恩', '帕特里克·威尔森', 'Ty Simpkins', '林·沙烨', '芭芭拉·赫希']",7.6,['2010'],"['惊悚', '恐怖']",103,85792,英语, 美国,潜伏
153,佩顿·里德,"['金·凯瑞', '佐伊·丹斯切尔', '布莱德利·库珀', '约翰·迈克尔·辛吉斯', '瑞斯·达比']",7.7,['2008'],"['喜剧', '爱情']",104,77245,英语, 美国,好好先生
154,安南德·图克尔,"['艾米·亚当斯', '马修·古迪', '亚当·斯科特']",7.8,['2010'],"['喜剧', '爱情']",100,80064,英语, 美国,闰年
155,伦·怀斯曼,"['布鲁斯·威利斯', '蒂莫西·奥利芬特', '贾斯汀·朗', '李美琪', '克利夫·柯蒂斯']",7.7,['2007'],"['动作', '惊悚', '犯罪']",128,63827,英语, 美国,虎胆龙威4
156,F·加里·格雷,"['杰米·福克斯', '杰拉德·巴特勒', '科尔姆·米尼', '布鲁斯·麦克吉尔', '莱丝莉·比伯']",8.0,['2009'],"['剧情', '动作', '犯罪']",108,79492,英语, 美国,守法公民
157,盖瑞·温尼克,"['阿曼达·塞弗里德', '盖尔·加西亚·贝纳尔', '克里斯托弗·艾甘', '瓦妮莎·雷德格瑞夫', '马西娅·德波尼斯']",7.6,['2010'],"['剧情', '喜剧', '爱情']",106,70590,英语, 美国,给朱丽叶的信
158,吉尔·约格尔,"['詹妮弗·洛芙·休伊特', '保罗·尼科尔斯', '汤姆·威尔金森', '黛安娜·哈卡索', '露茜·达文波特']",8.0,['2004'],"['剧情', '喜剧', '爱情', '奇幻']",92,71987,英语, 美国,爱再来一次
159,蒂姆·希尔,"['杰森·李', '大卫·克罗斯', '卡梅隆·理查德森', '贾斯汀·朗', 'Kevin Symons']",7.4,['2007'],"['剧情', '喜剧', '音乐', '家庭', '奇幻']",92,47002,英语, 美国,鼠来宝
160,斯蒂芬·弗雷斯,"['海伦·米伦', '麦克·辛', '詹姆斯·克伦威尔', '阿历克斯·杰宁斯', '安吉拉·兰斯伯瑞']",7.7,['2006'],"['剧情', '传记']",103,64868,英语, 英国,女王
161,提姆·约翰森,"['吉姆·帕森斯', '蕾哈娜', '史蒂夫·马丁', '詹妮弗·洛佩兹', '马特·琼斯']",7.3,['2015'],"['喜剧', '科幻', '动画', '冒险']",94,58149,英语, 美国,疯狂外星人
162,菲利达·劳埃德,"['梅丽尔·斯特里普', '阿曼达·塞弗里德', '皮尔斯·布鲁斯南', '科林·费尔斯', '斯特兰·斯卡斯加德']",7.5,['2008'],"['喜剧', '爱情', '歌舞']",108,65006,英语, 英国,妈妈咪呀
163,李相槿,"['曹政奭', '林允儿', '高斗心', '朴仁焕', '金智英']",7.6,['2019'],"['喜剧', '动作', '灾难']",103,79452,韩语, 韩国,极限逃生
164,尼克·摩尔,"['艾玛·罗伯茨', '莱西·艾尼斯沃斯', '谢尔碧·杨', '约翰尼·帕卡', '艾丹·奎因']",7.2,['2008'],"['剧情', '喜剧', '爱情']",98,61623,英语, 英国,野孩子
165,安妮·弗莱彻,"['凯瑟琳·海格尔', '詹姆斯·麦斯登', '爱德华·伯恩斯', '玛琳·阿克曼', '朱迪·格雷尔']",6.7,['2008'],"['喜剧', '爱情']",111,60574,英语, 美国,27套礼服
166,格斯·范·桑特,"['阿里克斯·弗罗斯特', '约翰·罗宾森', '埃里克·德伦', '伊里斯·麦康利']",7.8,['2003'],"['剧情', '犯罪']",81,60107,英语, 美国,大象
167,盖瑞·温尼克,"['朱莉娅·罗伯茨', '史蒂夫·布西密', '约翰·克立斯', '奥普拉·温弗瑞', '塞德里克·凯尔斯']",7.9,['2006'],"['喜剧', '家庭', '奇幻']",97,50756,英语, 美国,夏洛特的网
168,迈克·米切尔,"['麦克·梅尔斯', '艾迪·墨菲', '卡梅隆·迪亚兹', '安东尼奥·班德拉斯', '朱莉·安德鲁斯']",7.5,['2010'],"['喜剧', '动作', '动画', '冒险']",93,50202,英语, 美国,怪物史瑞克4
169,权宗官,"['郑雨盛', '车太贤', '李己雨', '林秀晶', '金石源']",7.7,['2005'],"['剧情', '喜剧', '爱情']",108,58617,韩国手语, 韩国,悲伤电影
170,嘉柏·丘波,"['乔什·哈切森', '安娜索菲亚·罗伯', '佐伊·丹斯切尔', '罗伯特·帕特里克', '拜莉·麦迪逊']",7.8,['2007'],"['剧情', '奇幻', '冒险']",96,59472,英语, 美国,仙境之桥
171,温子仁,"['帕特里克·威尔森', '萝丝·拜恩', '泰·辛普金斯', '林·沙烨', '芭芭拉·赫希']",8.0,['2013'],"['惊悚', '恐怖']",106,62244,英语, 美国,潜伏2
172,P·J·霍根,"['艾拉·菲舍尔', '休·丹西', '克里斯滕·里特', '琼·库萨克', '约翰·古德曼']",6.4,['2009'],"['喜剧', '爱情']",104,56776,英语, 美国,一个购物狂的自白
173,基伦·埃弗瑞·韦恩斯,"['安娜·法瑞丝', '乔·阿布拉汉姆斯', '马龙·韦恩斯', '戴夫·谢里登', '莎诺·伊丽莎白']",6.9,['2000'],['喜剧'],88,49543,英语, 美国,惊声尖笑
174,马丁·麦克唐纳,"['科林·法瑞尔', '山姆·洛克威尔', '伍迪·哈里森', '克里斯托弗·沃肯', '艾比·考尼什']",7.7,['2012'],"['喜剧', '犯罪']",110,62249,英语, 英国,七个神经病
175,马克·沃特斯,"['金·凯瑞', '卡拉·古奇诺', '奥菲利亚·拉维邦德', '菲利普·贝克·霍尔', '玛德琳·卡罗尔']",7.4,['2011'],"['喜剧', '家庭']",95,55213,英语, 美国,波普先生的企鹅
176,弗兰克·奥兹,"['马修·麦克费登', '凯莉·霍威', '安迪·尼曼', '艾文·布莱纳', '黛西·唐洛范']",8.1,['2007'],['喜剧'],90,62770,英语, 英国,葬礼上的死亡
177,伍迪·艾伦,"['杰西·艾森伯格', '艾伦·佩吉', '佩内洛普·克鲁兹', '亚历克·鲍德温', '罗伯托·贝尼尼']",7.6,['2012'],"['喜剧', '爱情']",112,59153,英语, 美国,爱在罗马
178,汤姆·沙迪亚克,"['金·凯瑞', '毛拉·蒂尔内', '贾斯汀·库珀', '加利·艾尔维斯', '詹妮弗·提莉']",7.6,['1997'],"['喜剧', '奇幻']",86,53437,英语, 美国,大话王
179,伍迪·艾伦,"['杰西·艾森伯格', '克里斯汀·斯图尔特', '史蒂夫·卡瑞尔', '布蕾克·莱弗利', '寇瑞·斯托尔']",7.1,['2016'],"['剧情', '喜剧', '爱情']",96,60443,英语, 美国,咖啡公社
180,格伦·费卡拉,"['金·凯瑞', '伊万·麦克格雷格', '莱斯利·曼恩', '罗德里戈·桑托罗', 'Nicholas Alexander']",7.9,['2009'],"['喜剧', '爱情', '同性', '传记']",102,61158,英语, 法国,我爱你莫里斯
181,安迪·菲克曼,"['阿曼达·贝尼斯', '查宁·塔图姆', '劳拉·莱姆希', '维尼·琼斯', '大卫·克罗斯']",7.3,['2006'],"['喜剧', '爱情']",105,53220,英语, 美国,足球尤物
182,格伦·费卡拉,"['史蒂夫·卡瑞尔', '瑞恩·高斯林', '朱丽安·摩尔', '艾玛·斯通', '安娜丽·提普顿']",7.3,['2011'],"['剧情', '喜剧', '爱情']",118,59353,英语, 美国,疯狂愚蠢的爱
183,扎克·布拉夫,"['迈克尔·凯恩', '摩根·弗里曼', '艾伦·阿金', '乔伊·金', '安-玛格丽特']",7.7,['2017'],"['喜剧', '犯罪']",96,50715,英语, 美国,三个老枪手
184,格雷格·莫托拉,"['西蒙·佩吉', '尼克·弗罗斯特', '塞斯·罗根', '简·林奇', '克里斯汀·韦格']",7.6,['2011'],"['喜剧', '科幻', '冒险']",104,56701,英语, 美国,保罗
