,导演,演员,评分,类型,评价人数,语言,地区,名称
24,1,0.4,0.9436619718309859,1.0,0.7428660706657788,1,0,疯狂的石头
25,0,0.0,0.9577464788732394,0.0,0.7290850617866217,1,0,西游记之大圣归来
26,0,0.0,0.8873239436619719,0.0,0.7683777018115259,1,0,影
27,0,0.0,0.8309859154929579,0.0,0.7441668724465256,1,0,活着
28,0,0.8,0.9154929577464789,0.0,0.7576517923913336,1,0,寻龙诀
29,0,0.6,0.8732394366197183,1.0,0.7546639858719937,1,0,西游降魔篇
30,0,0.0,0.8309859154929577,0.5,0.775626614299106,1,0,乘风破浪
31,0,0.0,0.9436619718309859,0.0,0.6728878501719773,1,0,少年的你
32,0,0.0,0.9859154929577465,0.0,0.7759285547934224,1,0,白蛇：缘起
33,0,0.0,0.9859154929577465,0.0,0.7704117040561843,1,0,金陵十三钗
34,0,0.0,0.8028169014084506,0.0,0.7869113476961823,1,0,致我们终将逝去的青春
35,0,0.0,0.9859154929577465,0.0,0.8007262956231502,1,0,烈日灼心
36,0,0.0,0.9436619718309859,0.0,0.7966073825621173,1,0,色，戒
37,0,0.0,0.8873239436619718,0.0,0.7931251192255343,1,0,阳光灿烂的日子
38,1,1.0,0.8732394366197183,1.0,0.8068060664292493,1,0,心花路放
39,0,0.0,0.8309859154929579,0.0,0.8000779427787654,1,0,鬼子来了
40,0,0.0,0.8309859154929577,0.0,0.8193313305394085,1,0,大鱼海棠
41,0,0.8,0.9436619718309859,0.0,0.8177572609081856,1,0,亲爱的
42,0,0.0,1.0,0.0,0.7906463984233557,1,0,一代宗师
43,0,0.0,0.9859154929577465,0.0,0.8287096256991151,1,0,天下无贼
44,0,0.0,0.8028169014084506,0.0,0.835455889185498,1,0,画皮
45,0,0.0,0.9718309859154929,0.0,0.8284697117404529,1,0,不能说的秘密
46,0,1.0,0.9859154929577465,0.0,0.7590590925634865,1,0,我和我的祖国
47,0,0.0,0.9577464788732395,0.0,0.8465077304958729,1,0,唐山大地震
48,0,0.0,0.9014084507042253,0.6666666666666667,0.8528455550965331,1,0,宝贝计划
49,1,0.8,0.9718309859154931,0.0,0.8112485707564779,1,0,无人区
50,0,0.0,0.9718309859154931,0.0,0.8250769772713707,1,0,狗十三
51,0,0.0,0.9718309859154931,0.0,0.813841982134017,1,0,风声
52,0,0.0,0.5352112676056338,0.6666666666666667,0.8398117904252095,1,0,小时代
53,0,0.0,0.9436619718309859,0.0,0.8557584616482908,1,0,催眠大师
54,0,0.0,0.7042253521126761,0.0,0.8639360167026928,1,0,后来的我们
55,0,0.0,0.9859154929577465,0.0,0.8395133608668734,1,0,听说
56,0,0.0,0.8450704225352113,0.0,0.8288342639264201,1,0,饮食男女
57,0,0.0,0.9577464788732394,0.0,0.8407029830082402,1,0,蓝色大门
58,0,0.0,0.9436619718309859,0.0,0.8481888836744989,1,0,绣春刀
59,0,0.0,0.8873239436619719,0.0,0.8546302808865816,1,0,绣春刀II：修罗战场
60,0,0.0,0.9577464788732395,0.0,0.8579802989679018,1,0,智取威虎山
61,0,0.0,0.676056338028169,0.5,0.8463936250765092,1,0,新喜剧之王
62,0,0.0,0.9154929577464789,0.0,0.8668202506106103,1,0,新龙门客栈
63,0,1.0,0.8732394366197183,0.0,0.8713142486655517,1,0,记忆大师
64,0,0.0,0.9577464788732394,0.0,0.8459957189987278,1,0,暴裂无声
65,0,0.0,0.9718309859154931,0.0,0.8670110114655466,1,0,卧虎藏龙
66,0,0.0,0.9577464788732395,0.0,0.8587854736194123,1,0,解救吾先生
67,0,0.0,0.732394366197183,0.0,0.9002180291243843,1,0,狄仁杰之四大天王
68,0,0.0,0.8873239436619719,0.0,0.8717507750391177,1,0,火锅英雄
69,0,0.0,0.9577464788732395,0.0,0.8604127924463383,1,0,罗曼蒂克消亡史
70,0,0.0,0.9014084507042255,0.0,0.8557508546203332,1,0,心迷宫
71,0,0.0,0.9154929577464789,0.0,0.8660975829546399,1,0,搜索
72,0,0.0,0.7746478873239437,0.0,0.9027406366263182,1,0,嫌疑人X的献身
73,0,0.0,0.8591549295774648,0.0,0.8342756295400791,1,0,中国机长
74,0,0.0,0.9014084507042255,0.0,0.9218114557159793,1,0,可可西里
75,0,0.0,0.8169014084507041,0.0,0.90339133009469,1,0,大闹天宫
76,0,0.0,0.6901408450704225,0.5,0.8994865841284628,1,0,来电狂响
77,0,0.0,0.8309859154929577,0.0,0.8906027457859991,1,0,山楂树之恋
78,0,0.0,0.9577464788732395,0.0,0.8773770499477456,1,0,十月围城
79,0,0.0,0.8309859154929577,0.0,0.9153741545958737,1,0,战狼
