,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
11,追随,克里斯托弗·诺兰,"['杰里米·西奥伯德', '亚历克斯·霍', '露西·拉塞尔', '约翰·诺兰', '迪克·布拉德塞尔']",8.9,['1998'],"['悬疑', '惊悚', '犯罪']",69,116381,英语, 英国,61.77
12,全民情敌,安迪·坦纳特,"['威尔·史密斯', '伊娃·门德斯', '凯文·詹姆斯', '安贝·瓦莱塔', '朱莉·安·埃默里']",7.5,['2005'],"['喜剧', '爱情']",118,100056,英语, 美国,53.95000000000001
13,漂亮女人,盖瑞·马歇尔,"['理查·基尔', '朱莉娅·罗伯茨', '拉尔夫·贝拉米', '杰森·亚历山大', '劳拉·圣吉亚科莫']",7.9,['1990'],"['喜剧', '爱情']",119,105793,英语, 美国,51.63999999999999
14,火柴人,雷德利·斯科特,"['尼古拉斯·凯奇', '山姆·洛克威尔', '艾莉森·洛曼', '布鲁斯·奥尔特曼']",8.2,['2003'],"['剧情', '喜剧', '犯罪']",116,106768,英语, 美国,56.31333333333333
15,勇敢者的游戏,乔·庄斯顿,"['罗宾·威廉姆斯', '乔纳森·海德', '克斯汀·邓斯特', '布莱德利·皮尔斯', '派翠西娅·克拉克森']",8.1,['1995'],"['动作', '奇幻', '冒险']",104,100087,英语, 美国,46.92333333333334
16,亲切的金子,朴赞郁,"['李英爱', '崔岷植', '吴达洙', '金时厚', '金秉玉']",7.6,['2005'],"['剧情', '惊悚', '犯罪']",115,109671,韩语, 韩国,47.25666666666666
17,加菲猫2,Tim Hill,"['比尔·默瑞', '布瑞金·梅耶', '詹妮弗·洛芙·休伊特', '蒂姆·克里', '比利·康诺利']",7.4,['2006'],"['喜剧', '家庭']",78,71813,英语, 英国,48.25666666666667
18,热血警探,埃德加·赖特,"['西蒙·佩吉', '尼克·弗罗斯特', '马丁·弗瑞曼', '比尔·奈伊', '提摩西·道尔顿']",8.3,['2007'],"['喜剧', '悬疑', '犯罪']",121,114438,英语, 美国,59.81999999999999
19,黄飞鸿之二：男儿当自强,徐克,"['李连杰', '关之琳', '甄子丹', '莫少聪', '姜大卫']",8.0,['1992'],"['剧情', '动作', '爱情', '武侠', '古装']",113,78784,粤语, 中国香港,53.919999999999995
20,勇士,加文·欧康诺,"['汤姆·哈迪', '乔尔·埃哲顿', '尼克·诺特', '詹妮弗·莫里森', '弗兰克·格里罗']",8.9,['2011'],"['剧情', '家庭', '运动']",140,113725,英语, 美国,56.73
21,少年班,肖洋,"['孙红雷', '周冬雨', '董子健', '王栎鑫', '柳希龙']",5.9,['2015'],"['剧情', '喜剧']",106,69232,汉语普通话, 中国大陆,64.3
22,超能查派,尼尔·布洛姆坎普,"['休·杰克曼', '西格妮·韦弗', '沙尔托·科普雷', '戴夫·帕特尔', '忍者']",7.3,['2015'],"['动作', '科幻', '惊悚']",119,99746,英语, 美国,60.46
23,127小时,丹尼·博伊尔,"['詹姆斯·弗兰科', '丽兹·卡潘', '凯特·玛拉', '爱波·塔布琳', '克蕾曼丝·波西']",8.1,['2010'],"['剧情', '传记', '冒险']",94,108481,英语, 美国,56.38333333333333
24,神秘代码,亚历克斯·普罗亚斯,"['尼古拉斯·凯奇', '钱德勒·坎特布瑞', '罗丝·伯恩', 'Lara Robinson', 'D.G. Maloney']",6.7,['2009'],"['剧情', '科幻', '悬疑', '惊悚', '灾难']",121,104087,英语, 美国,66.81333333333333
25,牛仔裤的夏天,肯·卡皮斯,"['爱波·塔布琳', '阿丽克西斯·布莱德尔', '亚美莉卡·费雷拉', '布蕾克·莱弗利', '珍娜·博伊德']",7.6,['2005'],"['剧情', '喜剧', '爱情']",119,92801,英语, 美国,58.126666666666665
26,兰戈,戈尔·维宾斯基,"['约翰尼·德普', '艾拉·菲舍尔', '阿比盖尔·布蕾斯琳', '尼德·巴蒂', '阿尔弗雷德·莫里纳']",7.9,['2011'],"['喜剧', '动作', '动画', '西部', '冒险']",107,105056,英语, 美国,61.40333333333333
27,灵魂战车,马克·斯蒂文·约翰逊,"['尼古拉斯·凯奇', '伊娃·门德斯', '彼得·方达', '山姆·艾里奥特', '韦斯·本特利']",6.5,['2007'],"['动作', '惊悚', '奇幻']",114,82030,英语, 美国,62.673333333333346
28,消失的子弹,罗志良,"['谢霆锋', '刘青云', '杨幂', '井柏然', '廖启智']",6.5,['2012'],"['动作', '悬疑', '犯罪']",108,94134,粤语, 中国大陆,52.18666666666667
29,绝地逃亡,雷尼·哈林,"['成龙', '范冰冰', '约翰尼·诺克斯维尔', '曾志伟', '王敏德']",5.6,['2016'],"['喜剧', '动作']",111,75350,汉语普通话, 中国大陆,67.02666666666666
30,胖子行动队,包贝尔,"['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子']",4.2,['2018'],"['喜剧', '动作']",108,63511,汉语普通话, 中国大陆,45.22
31,成长教育,罗勒·莎菲,"['凯瑞·穆里根', '彼得·萨斯加德', '阿尔弗雷德·莫里纳', '卡拉·西摩', '奥莉维亚·威廉姆斯']",7.7,['2009'],['剧情'],100,107827,英语, 美国,55.84666666666667
32,白蛇传说,程小东,"['李连杰', '黄圣依', '林峯', '蔡卓妍', '文章']",4.7,['2011'],"['动作', '爱情', '奇幻', '古装']",103,100465,汉语普通话, 中国大陆,64.13666666666667
33,祈祷落幕时,福泽克雄,"['阿部宽', '松岛菜菜子', '沟端淳平', '田中丽奈', '木村绿子']",8.0,['2018'],"['剧情', '悬疑']",119,109384,日语, 日本,64.71333333333334
34,七磅,加布里埃莱·穆奇诺,"['威尔·史密斯', '罗莎里奥·道森', '伍迪·哈里森', '巴里·佩珀', '迈克尔·伊雷']",8.1,['2008'],['剧情'],123,102441,英语, 美国,56.196666666666665
35,白鹿原,王全安,"['张丰毅', '张雨绮', '段奕宏', '吴刚', '刘威']",6.3,['2012'],"['剧情', '历史']",154,98492,汉语普通话, 中国大陆,60.74666666666667
36,孔雀,顾长卫,"['张静初', '冯瓅', '吕聿来', '黄梅莹', '刘冠成']",8.0,['2005'],"['剧情', '家庭']",136,94379,汉语普通话, 中国大陆,52.27333333333333
37,28岁未成年,张末,"['倪妮', '霍建华', '马苏', '王大陆', '潘斌龙']",5.7,['2016'],"['喜剧', '爱情', '奇幻']",109,77849,汉语普通话, 中国大陆,67.34666666666666
38,贱女孩,马克·沃特斯,"['琳赛·洛翰', '瑞秋·麦克亚当斯', '蒂娜·菲', '蒂姆·麦道斯', '艾米·波勒']",6.8,['2004'],['喜剧'],97,94689,英语, 美国,70.48333333333333
39,爸爸去哪儿,谢涤葵,"['林志颖', '小小志', '王岳伦', '王诗龄', '张亮']",5.9,['2014'],"['喜剧', '家庭', '儿童']",95,81948,汉语普通话, 中国大陆,58.75333333333333
0,蓝色茉莉,伍迪·艾伦,"['凯特·布兰切特', '莎莉·霍金斯', '亚历克·鲍德温', '安德鲁·戴斯·克雷', '鲍比·坎纳瓦尔']",8.0,['2013'],"['剧情', '家庭']",98,110398,英语, 美国,52.28
1,后窗,阿尔弗雷德·希区柯克,"['詹姆斯·斯图尔特', '格蕾丝·凯利', '温戴尔·柯瑞', '瑟尔玛·瑞特', '雷蒙德·布尔']",8.5,['1954'],"['悬疑', '惊悚']",112,103587,英语, 美国,50.046666666666674
2,终结者2018,约瑟夫·麦克金提·尼彻,"['克里斯蒂安·贝尔', '萨姆·沃辛顿', '穆恩·布拉得古德', '海伦娜·伯翰·卡特', '安东·叶利钦']",6.7,['2009'],"['动作', '科幻', '惊悚', '冒险']",115,78517,英语, 美国,70.73
3,玩命快递,元奎,"['杰森·斯坦森', '舒淇', '马特·斯查尔兹', '弗朗索瓦·贝莱昂']",7.3,['2002'],"['动作', '犯罪']",92,87360,英语, 法国,44.99666666666667
4,当哈利遇到莎莉,罗伯·莱纳,"['梅格·瑞恩', '比利·克里斯托', '凯丽·费雪', '布鲁诺·柯比']",8.3,['1989'],"['剧情', '喜剧', '爱情']",96,105868,英语, 美国,50.826666666666675
5,星球大战,乔治·卢卡斯,"['哈里森·福特', '马克·哈米尔', '凯丽·费雪', '彼得·库欣', '亚历克·吉尼斯']",8.4,['1977'],"['动作', '科幻', '冒险']",121,91113,英语, 美国,49.663333333333334
6,新宿事件,尔冬升,"['成龙', '竹中直人', '吴彦祖', '徐静蕾', '范冰冰']",7.4,['2009'],"['剧情', '犯罪']",119,98698,汉语普通话, 中国香港,52.86333333333334
7,修女也疯狂,埃米利·阿朵里诺,"['乌比·戈德堡', '玛吉·史密斯', '凯茜·纳基麦', '温迪·麦凯纳', '哈威·凯特尔']",8.1,['1992'],"['喜剧', '音乐', '犯罪']",100,86527,英语, 美国,36.513333333333335
8,浪矢解忧杂货店,广木隆一,"['山田凉介', '村上虹郎', '宽一郎', '成海璃子', '门胁麦']",7.2,['2017'],"['剧情', '奇幻']",129,64354,日语, 日本,61.71999999999999
9,小鸡快跑,彼得·洛伊德,"['菲尔·丹尼尔斯', '梅尔·吉布森', '托尼·海加斯', '简·霍洛克斯', '米兰达·理查森']",7.6,['2000'],"['喜剧', '动画', '家庭']",84,81654,英语, 英国,47.38666666666668
10,花木兰,马楚成,"['赵薇', '陈坤', '胡军', '房祖名', '李玖哲']",6.2,['2009'],"['剧情', '爱情', '冒险']",114,83848,汉语普通话, 中国大陆,67.08333333333333
11,横冲直撞好莱坞,蒂姆·肯德尔,"['赵薇', '黄晓明', '佟大为', '黎一墨', '姜成镐']",4.4,['2015'],"['喜剧', '动作', '冒险']",118,75071,汉语普通话, 中国大陆,63.60333333333333
12,岁月的童话,高畑勋,"['今井美树', '柳叶敏郎', '本名阳子', '高桥一生', '饭冢雅弓']",8.6,['1991'],"['剧情', '爱情', '动画']",118,96683,德语, 日本,55.379999999999995
13,赤道,梁乐民,"['张学友', '张家辉', '余文乐', '王学圻', '文咏珊']",6.1,['2015'],"['剧情', '动作', '悬疑', '犯罪']",119,88617,汉语普通话, 中国香港,37.04666666666666
14,国家公敌,托尼·斯科特,"['威尔·史密斯', '吉恩·哈克曼', '强·沃特', '莉莎·博内特', '雷吉娜·金']",8.1,['1998'],"['剧情', '动作', '惊悚']",132,88398,英语, 美国,47.19
15,偷天陷阱,乔恩·阿米尔,"['肖恩·康纳利', '凯瑟琳·泽塔-琼斯', '文·瑞姆斯', '威尔·帕顿', '莫里·柴金']",7.8,['1999'],"['动作', '爱情', '惊悚', '犯罪']",113,85948,英语, 美国,48.34666666666667
16,厕所英雄,什里·那拉扬·辛,"['阿克谢·库玛尔', '阿努潘·凯尔', '布米·佩德卡尔', '拉杰什·沙玛', '萨钦·克德卡']",7.1,['2017'],"['剧情', '喜剧']",155,66796,印地语, 印度,32.02
17,诸神之战,路易斯·莱特里尔,"['萨姆·沃辛顿', '杰玛·阿特登', '麦斯·米科尔森', '拉尔夫·费因斯', '连姆·尼森']",6.1,['2010'],"['动作', '奇幻', '冒险']",106,89359,英语, 美国,61.76000000000001
18,一念天堂,张承,"['沈腾', '马丽', '杜晓宇', '林雪', '王子子']",5.7,['2015'],['喜剧'],102,61764,汉语普通话, 中国大陆,68.85666666666667
19,欲望都市,迈克尔·帕特里克·金,"['莎拉·杰茜卡·帕克', '金·凯特罗尔', '克里斯汀·戴维斯', '辛西娅·尼克松', '詹妮弗·哈德森']",7.7,['2008'],"['剧情', '喜剧', '爱情']",145,88814,英语, 美国,64.85
20,最好的我们,章笛沙,"['陈飞宇', '何蓝逗', '惠英红', '陶慧敏', '汪苏泷']",5.4,['2019'],"['剧情', '爱情']",110,75438,汉语普通话, 中国大陆,65.13
0,浮城谜事,娄烨,"['郝蕾', '秦昊', '齐溪', '朱亚文', '祖峰']",7.4,['2012'],"['剧情', '犯罪']",98,97655,汉语普通话, 中国大陆,68.77
1,十二罗汉,史蒂文·索德伯格,"['乔治·克鲁尼', '布拉德·皮特', '凯瑟琳·泽塔-琼斯', '朱莉娅·罗伯茨', '安迪·加西亚']",7.2,['2004'],"['惊悚', '犯罪']",125,86190,英语, 美国,60.23
2,罗马,阿方索·卡隆,"['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫']",8.2,['2018'],"['剧情', '家庭']",135,98313,西班牙语, 墨西哥,62.38666666666666
3,如晴天，似雨天,弗兰克·威利,"['朱利安·夏特金', '莉顿·梅斯特', '黛博拉·梅辛', '欧嘉·梅雷迪斯', '韦恩·普雷特洛']",8.3,['2014'],"['剧情', '音乐']",104,100499,英语, 美国,72.12666666666667
4,圣诞夜惊魂,亨利·塞利克,"['丹尼·艾夫曼', '克里斯·萨兰登', '凯瑟琳·欧哈拉', '威廉·赫基', '格伦·沙迪克斯']",8.2,['1993'],"['剧情', '动画', '奇幻']",76,87270,英语, 美国,56.04333333333333
5,赌神2,王晶,"['周润发', '梁家辉', '吴倩莲', '邱淑贞', '徐锦江']",7.8,['1994'],"['喜剧', '动作']",126,63032,粤语, 中国香港,50.629999999999995
6,极盗者,埃里克松·科尔,"['卢克·布雷西', '埃德加·拉米雷兹', '泰莉莎·帕尔墨', '雷·温斯顿', '麦克斯·泰瑞奥']",7.0,['2015'],"['动作', '犯罪', '运动']",113,83441,英语, 美国,64.04333333333334
7,名侦探柯南：侦探们的镇魂歌,山本泰一郎,"['高山南', '堀川亮', '神谷明', '山口胜平', '山崎和佳奈']",7.8,['2006'],"['动画', '悬疑']",111,71325,日语, 日本,55.93666666666667
8,全面回忆,伦·怀斯曼,"['科林·法瑞尔', '凯特·贝金赛尔', '杰西卡·贝尔', '布莱恩·科兰斯顿', '博基姆·伍德拜因']",7.0,['2012'],"['动作', '科幻', '惊悚', '冒险']",118,97994,英语, 美国,72.13000000000001
9,古墓丽影2,扬·德·邦特,"['安吉丽娜·朱莉', '杰拉德·巴特勒', '塞伦·希德', '克里斯·巴里', '诺亚·泰勒']",6.6,['2003'],"['动作', '冒险']",117,46345,英语, 美国,48.93333333333334
10,名侦探柯南：银翼的魔术师,山本泰一郎,"['高山南', '山崎和佳奈', '神谷明', '松井菜樱子', '高岛雅罗']",8.0,['2004'],"['动画', '悬疑']",108,69439,日语, 日本,49.199999999999996
11,超人归来,布莱恩·辛格,"['布兰登·罗斯', '凯特·波茨沃斯', '凯文·史派西', '詹姆斯·麦斯登', '爱娃·玛丽·森特']",6.6,['2006'],"['动作', '科幻', '冒险']",154,62193,英语, 美国,72.12333333333333
12,创：战纪,约瑟夫·科辛斯基,"['加内特·赫德兰', '奥利维亚·王尔德', '杰夫·布里吉斯', '布鲁斯·巴克林纳', '詹姆斯·弗莱恩']",6.6,['2010'],"['动作', '科幻', '冒险']",125,86418,英语, 美国,69.02333333333333
13,那小子真帅,李焕庆,"['宋承宪', '郑多彬', '李己雨', '李民友', '金智慧']",6.8,['2004'],"['喜剧', '爱情']",114,75998,韩语, 韩国,66.90333333333334
14,断头谷,蒂姆·波顿,"['约翰尼·德普', '克里斯蒂娜·里奇', '米兰达·理查森', '迈克尔·刚本', '卡斯帕·凡·迪恩']",7.6,['1999'],"['悬疑', '恐怖', '奇幻']",105,90849,英语, 美国,60.38666666666666
15,城市之光,查理·卓别林,"['查理·卓别林', '弗吉尼亚·切瑞尔', '佛罗伦斯·李', '亨利·伯格曼', '珍·哈露']",9.3,['1931'],"['剧情', '喜剧', '爱情']",87,72143,英语, 美国,42.1
16,名侦探柯南：绀青之拳,永冈智佳,"['高山南', '山口胜平', '山崎和佳奈', '小山力也', '绪方贤一']",5.9,['2019'],"['动画', '悬疑']",110,96426,日语, 日本,48.79666666666666
17,红番区,唐季礼,"['成龙', '梅艳芳', '叶芳华', '董骠', '马克·阿克斯']",7.5,['1995'],"['喜剧', '动作', '犯罪']",104,64220,粤语, 中国香港,59.57333333333333
18,触不到的恋人,亚历杭德罗·阿格雷斯蒂,"['基努·里维斯', '桑德拉·布洛克', '克里斯托弗·普卢默', '艾邦·摩斯-巴克拉赫', '维勒克·范阿梅尔罗伊']",7.7,['2006'],"['剧情', '爱情', '奇幻']",99,85309,英语, 美国,61.026666666666664
19,鸿门宴传奇,李仁港,"['黎明', '冯绍峰', '刘亦菲', '张涵予', '黄秋生']",6.3,['2011'],"['剧情', '动作', '爱情', '历史', '古装']",138,90618,汉语普通话, 中国大陆,59.77
20,花田喜事2010,黄百鸣,"['黄百鸣', '吴君如', '古天乐', '郑中基', '潘粤明']",5.2,['2010'],"['喜剧', '爱情', '古装']",93,66280,粤语, 中国大陆,26.763333333333332
21,沉默的证人,雷尼·哈林,"['张家辉', '杨紫', '任贤齐', '李成敏', '冯嘉怡']",5.3,['2019'],"['动作', '犯罪']",94,90992,汉语普通话, 中国大陆,66.09666666666666
22,太极1：从零开始,冯德伦,"['袁晓超', '梁家辉', '杨颖', '彭于晏', '冯绍峰']",5.7,['2012'],"['喜剧', '动作', '奇幻', '武侠', '古装']",99,82877,汉语普通话, 中国大陆,66.89333333333333
23,钟无艳,杜琪峰,"['郑秀文', '梅艳芳', '张柏芝', '黄浩然', '林雪']",6.9,['2001'],"['喜剧', '奇幻', '古装']",123,68150,粤语, 中国香港,46.68
24,我想和你好好的,李蔚然,"['冯绍峰', '倪妮', '钮宝平', '周德华', '常小婧']",5.9,['2013'],"['剧情', '爱情']",96,75223,汉语普通话, 中国大陆,66.15666666666668
25,圆梦巨人,史蒂文·斯皮尔伯格,"['鲁比·巴恩希尔', '马克·里朗斯', '比尔·哈德尔', '丽贝卡·豪尔', '拉菲·斯波']",6.8,['2016'],"['奇幻', '冒险']",117,65319,英语, 美国,47.923333333333325
26,印度合伙人,R·巴尔基,"['阿克谢·库玛尔', '拉迪卡·艾普特', '索娜姆·卡普尔', '乔蒂·苏巴', '森尔·辛']",7.7,['2018'],"['剧情', '喜剧', '传记']",140,65884,印地语, 印度,55.03
27,健忘村,陈玉勋,"['舒淇', '王千源', '张孝全', '曾志伟', '杨祐宁']",6.7,['2017'],"['剧情', '喜剧', '奇幻', '古装']",116,75004,汉语普通话, 中国大陆,65.73666666666666
28,三枪拍案惊奇,张艺谋,"['小沈阳', '闫妮', '孙红雷', '倪大红', '程野']",4.6,['2009'],"['喜剧', '悬疑', '古装']",95,91484,汉语普通话, 中国大陆,66.95333333333333
29,热血高校,三池崇史,"['小栗旬', '山田孝之', '矢部享佑', '远藤宪一', '岸谷五朗']",7.8,['2007'],"['动作', '惊悚']",130,94998,日语, 日本,63.339999999999996
30,摘金奇缘,朱浩伟,"['吴恬敏', '亨利·戈尔丁', '杨紫琼', '嘉玛·陈', '奥卡菲娜']",6.1,['2018'],"['喜剧', '爱情']",121,89907,英语, 美国,68.51333333333334
31,她,保罗·范霍文,"['伊莎贝尔·于佩尔', '罗兰·拉斐特', '安妮·康斯金尼', '夏尔·贝尔林', '维尔日妮·埃菲拉']",7.7,['2016'],"['剧情', '惊悚']",130,91380,法语, 法国,55.99
32,疾速追杀,大卫·雷奇,"['基努·里维斯', '迈克尔·恩奎斯特', '阿尔菲·艾伦', '威廉·达福', '迪恩·文特斯']",7.5,['2014'],"['动作', '惊悚', '犯罪']",101,93196,英语, 美国,53.07666666666666
33,逆时营救,尹鸿承,"['杨幂', '霍建华', '金士杰', '刘畅', '张艺瀚']",4.8,['2017'],"['动作', '科幻']",106,56931,汉语普通话, 中国大陆,65.11333333333333
34,我的黑色小礼服,许仁茂,"['尹恩惠', '朴寒星', '刘仁娜', '车艺莲', '申东浩']",7.1,['2011'],['剧情'],107,81894,韩语, 韩国,68.73
35,名侦探柯南：天空的遇难船,山本泰一郎,"['高山南', '山口胜平', '山崎和佳奈', '小山力也', '堀川亮']",7.4,['2010'],"['动作', '动画', '悬疑']",102,67834,日语, 日本,47.32666666666666
36,死神来了5,史蒂文·奎里 ,"['麦尔斯·费舍', '尼克·达歌斯托', '大卫·科恩查内', '艾玛·贝尔', '梅甘·欧瑞']",6.6,['2011'],"['惊悚', '恐怖']",92,83867,英语, 美国,61.13999999999999
37,爱你，罗茜,克利斯汀·迪特,"['莉莉·柯林斯', '山姆·克拉弗林', '塔姆欣·伊格顿', '杰美·温斯顿', '克里斯蒂安·库克']",7.5,['2014'],"['喜剧', '爱情']",102,88071,英语, 德国,63.20666666666667
38,倩女幽魂3：道道道,程小东,"['梁朝伟', '张学友', '王祖贤', '利智', '刘兆铭']",7.5,['1991'],"['动作', '爱情', '奇幻', '古装']",109,67441,粤语, 中国香港,46.166666666666664
39,龙虾,欧格斯·兰斯莫斯,"['科林·法瑞尔', '蕾切尔·薇兹', '约翰·C·赖利', '蕾雅·赛杜', '奥利维娅·科尔曼']",7.6,['2015'],"['剧情', '喜剧', '奇幻']",118,94256,英语, 爱尔兰,61.96666666666667
40,建筑学概论,李勇周,"['李帝勋', '严泰雄', '韩佳人', '裴秀智', '高俊熙']",7.5,['2012'],['爱情'],116,93612,韩语, 韩国,68.99666666666667
41,纽约，我爱你,法提赫·阿金,"['海登·克里斯滕森', '娜塔莉·波特曼', '奥兰多·布鲁姆', '克里斯蒂娜·里奇', '李美琪']",7.6,['2009'],"['剧情', '爱情']",103,93318,英语, 美国,64.74000000000001
42,我们俩,马俪文,"['宫哲', '金雅琴', '张淑芳', '孙捷', '罗忠学']",8.7,['2005'],['剧情'],88,87415,汉语普通话, 中国大陆,42.72333333333333
43,天生杀人狂,奥利佛·斯通,"['伍迪·哈里森', '朱丽叶特·刘易斯', '汤姆·塞兹摩尔', '汤米·李·琼斯', '小罗伯特·唐尼']",8.0,['1994'],"['剧情', '动作', '爱情', '惊悚', '犯罪']",118,90744,英语, 美国,43.20666666666667
44,铁道飞虎,丁晟,"['成龙', '黄子韬', '王凯', '王大陆', '徐帆']",5.2,['2016'],"['喜剧', '动作']",124,74962,汉语普通话, 中国大陆,70.83666666666666
45,我爱你,秋昌旼,"['宋在浩', '李顺载', '尹秀晶', '金秀美', '宋智孝']",9.0,['2011'],"['剧情', '爱情']",118,93148,韩语, 韩国,48.339999999999996
46,飓风营救3,奥利维尔·米加顿,"['连姆·尼森', '福里斯特·惠特克', '法米克·詹森', '玛姬·格蕾斯', '多格雷·斯科特']",6.5,['2014'],"['动作', '惊悚', '犯罪']",109,68382,英语, 法国,51.32
47,名侦探柯南：沉默的十五分钟,静野孔文,"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '草尾毅']",6.6,['2011'],"['动画', '悬疑']",109,69607,日语, 日本,50.4
48,银河系漫游指南,加斯·詹宁斯,"['马丁·弗瑞曼', '茅斯·达夫', '山姆·洛克威尔', '佐伊·丹斯切尔', '沃维克·戴维斯']",8.1,['2005'],"['喜剧', '科幻', '冒险']",109,92782,英语, 美国,55.03
49,四个婚礼和一个葬礼,迈克·内威尔,"['休·格兰特', '安迪·麦克道威尔', '詹姆斯·弗雷特', '西蒙·卡洛', '约翰·汉纳']",7.4,['1994'],"['剧情', '喜剧', '爱情']",117,85540,英语, 英国,57.04333333333333
50,血肉之躯,乔纳森·莱文,"['尼古拉斯·霍尔特', '泰莉莎·帕尔墨', '约翰·马尔科维奇', '戴夫·弗兰科', '安娜丽·提普顿']",7.4,['2013'],"['喜剧', '爱情', '恐怖']",98,92604,英语, 美国,64.89999999999999
51,东方不败风云再起,李惠民,"['林青霞', '王祖贤', '王静莹', '于荣光', '刘洵']",7.3,['1993'],"['动作', '爱情', '武侠', '古装']",93,68973,粤语, 中国香港,54.093333333333334
52,夏日么么茶,马楚成,"['郑秀文', '任贤齐', '谷德昭', '阿牛', '沈傲君']",6.7,['2000'],"['喜剧', '爱情']",98,70745,粤语, 中国香港,49.333333333333336
53,邻家特工,布莱恩·莱温特,"['成龙', '安贝·瓦莱塔', '玛德琳·卡罗尔', '卢卡斯·提尔', '阿琳娜·福利']",6.2,['2010'],"['喜剧', '动作', '家庭']",94,79341,英语, 美国,48.26
54,我家买了动物园,卡梅伦·克罗,"['马特·达蒙', '斯嘉丽·约翰逊', '托马斯·哈登·丘奇', '艾丽·范宁', '派屈克·福吉特']",7.8,['2011'],"['剧情', '喜剧', '家庭']",124,88123,英语, 美国,64.03
55,监狱风云,林岭东,"['周润发', '梁家辉', '何家驹', '张耀扬', '黄光亮']",8.3,['1987'],"['剧情', '动作', '犯罪']",101,73045,粤语, 中国香港,56.72333333333333
56,特工,尹钟彬,"['黄政民', '李星民', '赵震雄', '朱智勋']",8.5,['2018'],['剧情'],137,97942,韩语, 韩国,50.81333333333333
0,飞行家,马丁·斯科塞斯,"['莱昂纳多·迪卡普里奥', '凯特·布兰切特', '凯特·贝金赛尔', '约翰·C·赖利', '亚历克·鲍德温']",8.0,['2004'],"['剧情', '传记']",170,85574,英语, 美国,56.89666666666667
1,韩城攻略,马楚成,"['梁朝伟', '任贤齐', '舒淇', '李廷镇', '田朴珺']",6.1,['2005'],"['剧情', '喜剧', '动作']",95,66214,粤语, 中国香港,52.27333333333333
2,可爱的骨头,彼得·杰克逊,"['西尔莎·罗南', '马克·沃尔伯格', '蕾切尔·薇兹', '苏珊·萨兰登', '斯坦利·图齐']",7.2,['2009'],"['剧情', '惊悚', '家庭', '奇幻']",135,90543,英语, 美国,69.47666666666667
3,年轻气盛,保罗·索伦蒂诺,"['蕾切尔·薇兹', '简·方达', '迈克尔·凯恩', '保罗·达诺', '哈威·凯特尔']",8.2,['2015'],"['剧情', '喜剧']",124,87976,英语, 意大利,64.83
4,夺命金,杜琪峰,"['刘青云', '何韵诗', '任贤齐', '胡杏儿', '卢海鹏']",7.3,['2011'],"['剧情', '犯罪']",106,90062,粤语, 中国香港,49.28666666666667
5,范海辛,斯蒂芬·索莫斯,"['休·杰克曼', '凯特·贝金赛尔', '理查德·劳斯伯格', '大卫·文翰', '舒勒·汉斯利']",7.1,['2004'],"['剧情', '动作', '悬疑', '惊悚', '奇幻', '冒险']",131,76833,英语, 捷克,70.52
6,名侦探柯南：水平线上的阴谋,山本泰一郎,"['高山南', '山崎和佳奈', '神谷明', '山口胜平', '林原惠美']",7.6,['2005'],"['动画', '悬疑']",108,62922,日语, 日本,49.199999999999996
7,大开眼戒,斯坦利·库布里克,"['汤姆·克鲁斯', '妮可·基德曼', '麦迪逊·埃金顿', '杰基·萨维里斯', '西德尼·波拉克']",7.9,['1999'],"['剧情', '悬疑', '惊悚', '情色']",159,86583,英语, 英国,71.61666666666666
8,三人行,杜琪峰,"['赵薇', '古天乐', '钟汉良', '卢海鹏', '林雪']",5.9,['2016'],"['剧情', '动作', '犯罪']",90,83767,汉语普通话, 中国大陆,63.586666666666666
9,霹雳娇娃,约瑟夫·麦克金提·尼彻,"['卡梅隆·迪亚兹', '德鲁·巴里摩尔', '刘玉玲', '比尔·默瑞', '山姆·洛克威尔']",6.8,['2000'],"['动作', '冒险']",98,66908,英语, 美国,65.88333333333333
10,关云长,麦兆辉,"['甄子丹', '姜文', '孙俪', '方中信', '李宗翰']",4.9,['2011'],"['动作', '传记', '历史', '古装']",110,77319,汉语普通话, 中国大陆,60.879999999999995
11,芳芳,亚历山大·雅丁,"['苏菲·玛索', '文森特·佩雷斯', '玛丽娜·德尔泰姆', '布鲁诺·托德契尼']",8.1,['1993'],"['喜剧', '爱情']",85,76584,法语, 法国,63.55333333333334
12,十三罗汉,史蒂文·索德伯格,"['乔治·克鲁尼', '布拉德·皮特', '马特·达蒙', '迈克尔·曼特尔', '埃利奥特·古尔德']",7.4,['2007'],"['惊悚', '犯罪']",122,73632,英语, 美国,60.23
13,黑社会2：以和为贵,杜琪峰,"['古天乐', '任达华', '张家辉', '林家栋', '王天林']",7.9,['2006'],"['剧情', '惊悚', '犯罪']",92,79045,汉语普通话, 中国香港,59.98333333333333
14,证人,林超贤,"['谢霆锋', '张静初', '张家辉', '苗圃', '廖启智']",7.2,['2008'],"['动作', '惊悚']",109,78671,粤语, 中国香港,59.95333333333334
