,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
253,怪兽大学,丹·斯坎隆,"['比利·克里斯托', '约翰·古德曼', '史蒂夫·布西密', '海伦·米伦', '彼得·孙']",8.1,['2013'],"['喜剧', '动画', '冒险']",104,257827,英语, 美国,46.343333333333334
254,我的个神啊,拉吉库马尔·希拉尼,"['阿米尔·汗', '安努舒卡·莎玛', '桑杰·达特', '博曼·伊拉尼', '沙鲁巴·舒克拉']",8.4,['2014'],"['喜剧', '奇幻']",139,258448,印地语, 印度,59.529999999999994
255,猩球崛起2：黎明之战,马特·里夫斯,"['安迪·瑟金斯', '杰森·克拉克', '加里·奥德曼', '凯丽·拉塞尔', '托比·凯贝尔']",7.6,['2014'],"['剧情', '动作', '科幻']",130,225488,英语, 美国,57.73
256,黑衣人,巴里·索南菲尔德,"['威尔·史密斯', '汤米·李·琼斯', '琳达·费奥伦蒂诺', '文森特·多诺费奥', '雷普·汤恩']",8.1,['1997'],"['喜剧', '动作', '科幻']",98,225535,英语, 美国,42.25666666666667
257,正义联盟,扎克·施奈德,"['本·阿弗莱克', '亨利·卡维尔', '盖尔·加朵', '埃兹拉·米勒', '杰森·莫玛']",6.5,['2017'],"['动作', '科幻', '奇幻', '冒险']",120,229461,英语, 美国,59.413333333333334
258,魔兽,邓肯·琼斯,"['崔维斯·费米尔', '托比·凯贝尔', '宝拉·巴顿', '吴彦祖', '本·福斯特']",7.7,['2016'],"['动作', '奇幻', '冒险']",124,246696,英语, 美国,57.29666666666666
259,闪灵,斯坦利·库布里克,"['杰克·尼科尔森', '谢莉·杜瓦尔', '丹尼·劳埃德', '斯加特曼·克罗索斯', '巴瑞·尼尔森']",8.2,['1980'],"['剧情', '悬疑', '恐怖']",119,269154,英语, 英国,55.303333333333335
260,发条橙,斯坦利·库布里克,"['马尔科姆·麦克道威尔', '帕特里克·马基', '迈克尔·贝茨', '沃伦·克拉克', '约翰·克莱夫']",8.5,['1971'],"['剧情', '科幻', '犯罪']",136,257752,英语, 英国,42.876666666666665
261,同桌的妳,郭帆,"['周冬雨', '林更新', '隋凯', '王啸坤', '龚格尔']",5.9,['2014'],"['剧情', '爱情']",98,211245,汉语普通话, 中国大陆,72.87
262,风中有朵雨做的云,娄烨,"['井柏然', '宋佳', '马思纯', '秦昊', '陈妍希']",7.2,['2018'],"['剧情', '悬疑', '犯罪']",124,282123,汉语普通话, 中国大陆,63.26666666666667
263,北京遇上西雅图之不二情书,薛晓路,"['汤唯', '吴秀波', '惠英红', '秦沛', '吴彦姝']",6.4,['2016'],"['喜剧', '爱情']",131,203215,汉语普通话, 中国大陆,69.54666666666667
264,普罗米修斯,雷德利·斯科特,"['劳米·拉佩斯', '迈克尔·法斯宾德', '查理兹·塞隆', '伊德里斯·艾尔巴', '盖·皮尔斯']",7.4,['2012'],"['科幻', '惊悚', '冒险']",124,251924,英语, 美国,61.56333333333333
265,超人总动员2,布拉德·伯德,"['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔']",7.9,['2018'],"['喜剧', '动作', '动画', '冒险']",118,193671,英语, 美国,53.34
266,黑衣人3,巴里·索南菲尔德,"['威尔·史密斯', '汤米·李·琼斯', '乔什·布洛林', '杰梅奈·克莱门特', '艾玛·汤普森']",7.6,['2012'],"['喜剧', '动作', '科幻']",103,232312,英语, 美国,42.25666666666667
267,泰迪熊,塞思·麦克法兰,"['塞思·麦克法兰', '马克·沃尔伯格', '米拉·库尼斯', '乔尔·麦克哈尔', '吉奥瓦尼·瑞比西']",7.1,['2012'],['喜剧'],106,229040,英语, 美国,43.193333333333335
0,荒蛮故事,达米安·斯兹弗隆,"['达里奥·格兰迪内蒂', '玛丽娅·玛努尔', '莫妮卡·比利亚', '丽塔·科尔泰塞', '胡丽叶塔·泽尔贝伯格']",8.8,['2014'],"['剧情', '喜剧', '犯罪']",122,247861,西班牙语, 阿根廷,63.11333333333334
1,鹿鼎记,王晶,"['周星驰', '吴孟达', '张敏', '吴君如', '邱淑贞']",8.0,['1992'],"['喜剧', '动作', '武侠', '古装']",110,201669,粤语, 中国香港,42.446666666666665
2,饥饿游戏2：星火燎原,弗朗西斯·劳伦斯,"['詹妮弗·劳伦斯', '乔什·哈切森', '利亚姆·海姆斯沃斯', '伍迪·哈里森', '伊丽莎白·班克斯']",7.3,['2013'],"['动作', '科幻', '冒险']",146,194689,英语, 美国,69.96666666666667
3,叶问2：宗师传奇,叶伟信,"['甄子丹', '洪金宝', '熊黛林', '黄晓明', '樊少皇']",7.2,['2010'],"['动作', '传记', '历史']",108,180488,粤语, 中国大陆,61.93666666666667
4,无间道3：终极无间,刘伟强,"['梁朝伟', '刘德华', '黎明', '陈道明', '陈慧琳']",8.0,['2003'],"['剧情', '动作', '惊悚', '犯罪']",107,198959,汉语普通话, 中国大陆,57.629999999999995
5,哆啦A梦：伴我同行,八木龙一,"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",8.0,['2014'],"['剧情', '动画']",95,206602,日语, 日本,46.70333333333334
6,生化危机,保罗·安德森,"['米拉·乔沃维奇', '米歇尔·罗德里格兹', '科林·萨蒙', '埃里克·马比斯', '詹姆斯·鲍弗']",8.0,['2002'],"['动作', '科幻', '恐怖']",100,190899,英语, 英国,53.04666666666666
